track_id,sample_id,instrument,genre,vggish_filename,openl3_filename
0039,1,cel,cla,irmas-vggish/038__[cel][nod][cla]0039__1.json,irmas-openl3/038__[cel][nod][cla]0039__1.npz
0039,1,nod,cla,irmas-vggish/038__[cel][nod][cla]0039__1.json,irmas-openl3/038__[cel][nod][cla]0039__1.npz
2005,3,tru,cla,irmas-vggish/[tru][cla]2005__3.json,irmas-openl3/[tru][cla]2005__3.npz
1668,3,sax,cla,irmas-vggish/224__[sax][nod][cla]1668__3.json,irmas-openl3/224__[sax][nod][cla]1668__3.npz
1668,3,nod,cla,irmas-vggish/224__[sax][nod][cla]1668__3.json,irmas-openl3/224__[sax][nod][cla]1668__3.npz
0864,3,gel,pop_roc,irmas-vggish/152__[gel][dru][pop_roc]0864__3.json,irmas-openl3/152__[gel][dru][pop_roc]0864__3.npz
0864,3,dru,pop_roc,irmas-vggish/152__[gel][dru][pop_roc]0864__3.json,irmas-openl3/152__[gel][dru][pop_roc]0864__3.npz
2176,3,vio,cla,irmas-vggish/122__[vio][nod][cla]2176__3.json,irmas-openl3/122__[vio][nod][cla]2176__3.npz
2176,3,nod,cla,irmas-vggish/122__[vio][nod][cla]2176__3.json,irmas-openl3/122__[vio][nod][cla]2176__3.npz
1222,2,org,pop_roc,irmas-vggish/[org][pop_roc]1222__2.json,irmas-openl3/[org][pop_roc]1222__2.npz
0383,2,flu,cla,irmas-vggish/[flu][cla]0383__2.json,irmas-openl3/[flu][cla]0383__2.npz
1431,1,pia,jaz_blu,irmas-vggish/051__[pia][dru][jaz_blu]1431__1.json,irmas-openl3/051__[pia][dru][jaz_blu]1431__1.npz
1431,1,dru,jaz_blu,irmas-vggish/051__[pia][dru][jaz_blu]1431__1.json,irmas-openl3/051__[pia][dru][jaz_blu]1431__1.npz
0263,3,cla,cla,irmas-vggish/[cla][cla]0263__3.json,irmas-openl3/[cla][cla]0263__3.npz
0796,1,gel,jaz_blu,irmas-vggish/243__[gel][dru][jaz_blu]0796__1.json,irmas-openl3/243__[gel][dru][jaz_blu]0796__1.npz
0796,1,dru,jaz_blu,irmas-vggish/243__[gel][dru][jaz_blu]0796__1.json,irmas-openl3/243__[gel][dru][jaz_blu]0796__1.npz
0659,2,gac,cla,irmas-vggish/[gac][cla]0659__2.json,irmas-openl3/[gac][cla]0659__2.npz
0193,1,cla,pop_roc,irmas-vggish/[cla][pop_roc]0193__1.json,irmas-openl3/[cla][pop_roc]0193__1.npz
0905,2,gel,jaz_blu,irmas-vggish/[gel][jaz_blu]0905__2.json,irmas-openl3/[gel][jaz_blu]0905__2.npz
1694,3,sax,cla,irmas-vggish/011__[sax][nod][cla]1694__3.json,irmas-openl3/011__[sax][nod][cla]1694__3.npz
1694,3,nod,cla,irmas-vggish/011__[sax][nod][cla]1694__3.json,irmas-openl3/011__[sax][nod][cla]1694__3.npz
2317,2,voi,pop_roc,irmas-vggish/050__[voi][dru][pop_roc]2317__2.json,irmas-openl3/050__[voi][dru][pop_roc]2317__2.npz
2317,2,dru,pop_roc,irmas-vggish/050__[voi][dru][pop_roc]2317__2.json,irmas-openl3/050__[voi][dru][pop_roc]2317__2.npz
2323,2,voi,pop_roc,irmas-vggish/193__[voi][dru][pop_roc]2323__2.json,irmas-openl3/193__[voi][dru][pop_roc]2323__2.npz
2323,2,dru,pop_roc,irmas-vggish/193__[voi][dru][pop_roc]2323__2.json,irmas-openl3/193__[voi][dru][pop_roc]2323__2.npz
0393,2,flu,cla,irmas-vggish/[flu][cla]0393__2.json,irmas-openl3/[flu][cla]0393__2.npz
0531,1,gac,jaz_blu,irmas-vggish/[gac][jaz_blu]0531__1.json,irmas-openl3/[gac][jaz_blu]0531__1.npz
0488,3,flu,pop_roc,irmas-vggish/[flu][pop_roc]0488__3.json,irmas-openl3/[flu][pop_roc]0488__3.npz
0700,3,gac,pop_roc,irmas-vggish/[gac][pop_roc]0700__3.json,irmas-openl3/[gac][pop_roc]0700__3.npz
1381,1,pia,cla,irmas-vggish/137__[pia][nod][cla]1381__1.json,irmas-openl3/137__[pia][nod][cla]1381__1.npz
1381,1,nod,cla,irmas-vggish/137__[pia][nod][cla]1381__1.json,irmas-openl3/137__[pia][nod][cla]1381__1.npz
0085,3,cel,jaz_blu,irmas-vggish/[cel][jaz_blu]0085__3.json,irmas-openl3/[cel][jaz_blu]0085__3.npz
2488,1,voi,jaz_blu,irmas-vggish/[voi][jaz_blu]2488__1.json,irmas-openl3/[voi][jaz_blu]2488__1.npz
0670,3,gac,cou_fol,irmas-vggish/082__[gac][nod][cou_fol]0670__3.json,irmas-openl3/082__[gac][nod][cou_fol]0670__3.npz
0670,3,nod,cou_fol,irmas-vggish/082__[gac][nod][cou_fol]0670__3.json,irmas-openl3/082__[gac][nod][cou_fol]0670__3.npz
0678,3,gac,pop_roc,irmas-vggish/[gac][pop_roc]0678__3.json,irmas-openl3/[gac][pop_roc]0678__3.npz
0159,2,cla,cla,irmas-vggish/[cla][cla]0159__2.json,irmas-openl3/[cla][cla]0159__2.npz
1251,1,org,jaz_blu,irmas-vggish/[org][jaz_blu]1251__1.json,irmas-openl3/[org][jaz_blu]1251__1.npz
0563,3,gac,cla,irmas-vggish/[gac][cla]0563__3.json,irmas-openl3/[gac][cla]0563__3.npz
0205,1,cla,jaz_blu,irmas-vggish/[cla][jaz_blu]0205__1.json,irmas-openl3/[cla][jaz_blu]0205__1.npz
0141,2,cel,pop_roc,irmas-vggish/[cel][pop_roc]0141__2.json,irmas-openl3/[cel][pop_roc]0141__2.npz
